INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,X,Y
I182073338,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,B2,,9/11/18,2018,9,Tuesday,18,Part Two,GERARD ST,42.33131,-71.07195
I182066658,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,C11,,8/20/18,2018,8,Monday,17,Part Two,LYNDHURST ST,42.29229,-71.07177
I182045225,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,A1,,6/11/18,2018,6,Monday,12,Part Two,BOYLSTON ST,42.35231,-71.06371
I182015103,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,A15,,2/25/18,2018,2,Sunday,15,Part Two,THIRD AVE,42.37628,-71.05384
I182013743,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,C11,,1/3/18,2018,1,Wednesday,0,Part Two,HALLET ST,42.28228,-71.04729
I182010219,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,B3,,2/8/18,2018,2,Thursday,6,Part Two,GREENWICH ST,42.33552,-71.08348
I182007752,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,A1,,1/29/18,2018,1,Monday,16,Part Two,NEW SUDBURY ST,42.36184,-71.05976
I172069135,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,D4,,8/21/17,2017,8,Monday,16,Part Two,HUNTINGTON AVE,42.3475,-71.07926
I172052192,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,D14,,6/28/17,2017,6,Wednesday,22,Part Two,CHESTNUT HILL AVE,42.34829,-71.15383
I172024875,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,B2,,3/31/17,2017,3,Friday,7,Part Two,CABOT ST,42.33338,-71.08745
I172017812,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,B3,,3/6/17,2017,3,Monday,10,Part Two,NIGHTINGALE ST,42.29474,-71.08504
I162105863,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,C6,,12/29/16,2016,12,Thursday,17,Part Two,NEW SUDBURY ST,42.36184,-71.05976
I162103993,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,C11,,12/22/16,2016,12,Thursday,4,Part Two,SAINT MARKS RD,42.29145,-71.06172
I162037632,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,C11,,5/11/16,2016,5,Wednesday,18,Part Two,BELLEVUE ST,42.31212,-71.06821
I162037114,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,E5,,5/12/16,2016,5,Thursday,17,Part Two,BEECH ST,42.28586,-71.14891
I162017224,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,E5,,3/4/16,2016,3,Friday,17,Part Two,WASHINGTON ST,42.26918,-71.14845
I152093144,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,C11,,11/9/15,2015,11,Monday,16,Part Two,DORCHESTER AVE,42.30948,-71.058
I152076416,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,C11,,9/14/15,2015,9,Monday,14,Part Two,WASHINGTON ST,42.29132,-71.0717
I152063010,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,E5,,7/30/15,2015,7,Thursday,16,Part Two,ROSECLIFF ST,42.2822,-71.13269
I152050398,2617,Drug Violation,CONSPIRACY EXCEPT DRUG LAW,B3,,6/18/15,2015,6,Thursday,5,Part Two,RADCLIFFE ST,42.29838,-71.07815
I182068741,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,8/27/18,2018,8,Monday,16,Part Two,O ST,42.33784,-71.02929
